x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
-1337600,3040000,546.317932129,266.901916504,272.842254639,-1.0
-1216000,3040000,525.335876465,266.538787842,272.781280518,-1.0
-1094400,3040000,515.289245605,266.182617188,272.733276367,-1.0
-972800,3040000,506.943145752,265.830535889,272.698181152,-1.0
-851200,3040000,501.92364502,265.492553711,272.672576904,-1.0
-729600,3040000,511.163726807,265.242523193,272.658416748,-1.0
-608000,3040000,519.699035645,265.066436768,272.654907227,-1.0
-486400,3040000,521.374023438,264.905426025,272.653167725,-1.0
-364800,3040000,530.660461426,264.760803223,272.652435303,-1.0
-243200,3040000,541.443603516,264.693450928,272.652313232,-1.0
-121600,3040000,533.43359375,264.751617432,272.65524292,-1.0
0,3040000,523.63470459,264.894439697,272.675720215,-1.0
121600,3040000,518.752380371,265.020477295,272.719482422,-1.0
243200,3040000,508.150024414,265.163391113,272.740631104,-1.0
364800,3040000,504.425445557,265.278106689,272.806335449,-1.0
486400,3040000,501.648498535,265.40914917,272.89465332,-1.0
608000,3040000,498.575592041,265.585327148,272.972930908,-1.0
729600,3040000,513.290710449,265.832733154,273.04864502,-1.0
851200,3040000,547.595214844,266.117797852,273.138305664,-1.0
972800,3040000,584.740112305,266.383300781,273.356781006,-1.0
1094400,3040000,624.694274902,266.61227417,273.564025879,-1.0
1216000,3040000,678.544250488,266.875305176,273.696838379,-1.0
1337600,3040000,732.7890625,267.223876953,273.818084717,-1.0
-1580800,2918400,545.603759766,268.018676758,273.039855957,-1.0
-1459200,2918400,555.681030273,267.343841553,272.922912598,-1.0
-1337600,2918400,542.687744141,266.800079346,272.839782715,-1.0
-1216000,2918400,525.326416016,266.395874023,272.77822876,-1.0
-1094400,2918400,524.845275879,265.986755371,272.735076904,-1.0
-972800,2918400,517.680786133,265.590942383,272.703765869,-1.0
-851200,2918400,506.736999512,265.236358643,272.683532715,-1.0
-729600,2918400,506.89364624,265.007751465,272.692962646,-1.0
-608000,2918400,501.260864258,264.87008667,272.714538574,-1.0
-486400,2918400,487.0027771,264.784667969,272.703918457,-1.0
-364800,2918400,497.007904053,264.746582031,272.699035645,-1.0
-243200,2918400,517.234802246,264.713012695,272.697479248,-1.0
-121600,2918400,516.704345703,264.771392822,272.693328857,-1.0
0,2918400,513.388916016,264.851989746,272.704742432,-1.0
121600,2918400,513.037841797,264.900909424,272.741363525,-1.0
243200,2918400,502.63192749,265.030487061,272.751068115,-1.0
364800,2918400,493.7137146,265.17791748,272.800262451,-1.0
486400,2918400,489.494567871,265.36907959,272.883636475,-1.0
608000,2918400,485.694030762,265.618164062,272.975158691,-1.0
729600,2918400,491.999908447,265.905761719,273.0730896,-1.0
851200,2918400,518.826416016,266.170074463,273.214050293,-1.0
972800,2918400,556.143676758,266.395324707,273.44418335,-1.0
1094400,2918400,591.276428223,266.610412598,273.613037109,-1.0
1216000,2918400,634.268432617,266.877716064,273.741394043,-1.0
1337600,2918400,685.929931641,267.234008789,273.8515625,-1.0
1459200,2918400,731.706542969,267.683837891,273.939331055,-1.0
1580800,2918400,753.117736816,268.18963623,274.01373291,-1.0
-1702400,2796800,548.289489746,268.503387451,273.130645752,-1.0
-1580800,2796800,551.482055664,267.861877441,272.999053955,-1.0
-1459200,2796800,570.650512695,267.178833008,272.894195557,-1.0
-1337600,2796800,562.595397949,266.602813721,272.824951172,-1.0
-1216000,2796800,552.481445312,266.115875244,272.779144287,-1.0
-1094400,2796800,548.237548828,265.660217285,272.751861572,-1.0
-972800,2796800,531.500854492,265.279693604,272.741546631,-1.0
-851200,2796800,503.270812988,265.018035889,272.7394104,-1.0
-729600,2796800,492.418182373,264.884796143,272.757110596,-1.0
-608000,2796800,477.838470459,264.834106445,272.771392822,-1.0
-486400,2796800,459.710388184,264.802490234,272.75100708,-1.0
-364800,2796800,465.215118408,264.815002441,272.737915039,-1.0
-243200,2796800,477.976287842,264.778594971,272.731445312,-1.0
-121600,2796800,486.154266357,264.798828125,272.728424072,-1.0
0,2796800,479.421295166,264.860565186,272.740966797,-1.0
121600,2796800,473.427307129,264.8777771,272.769775391,-1.0
243200,2796800,469.937988281,264.943725586,272.775756836,-1.0
364800,2796800,477.415039062,265.056213379,272.807647705,-1.0
486400,2796800,489.463317871,265.238372803,272.876556396,-1.0
608000,2796800,500.251647949,265.481628418,272.958587646,-1.0
729600,2796800,501.305908203,265.796600342,273.091033936,-1.0
851200,2796800,517.410766602,266.09085083,273.254943848,-1.0
972800,2796800,550.993591309,266.348449707,273.432800293,-1.0
1094400,2796800,579.824707031,266.605865479,273.629669189,-1.0
1216000,2796800,606.401306152,266.918121338,273.79006958,-1.0
1337600,2796800,652.124816895,267.288726807,273.895843506,-1.0
1459200,2796800,713.031860352,267.751342773,273.946350098,-1.0
1580800,2796800,744.032409668,268.299133301,273.979797363,-1.0
1702400,2796800,763.607421875,268.781738281,274.032958984,-1.0
-1945600,2675200,587.101135254,269.754547119,273.41418457,-1.0
-1824000,2675200,593.201904297,268.978637695,273.196960449,-1.0
-1702400,2675200,586.335510254,268.269439697,273.036590576,-1.0
-1580800,2675200,576.10357666,267.617553711,272.923736572,-1.0
-1459200,2675200,587.212768555,266.91519165,272.85534668,-1.0
-1337600,2675200,586.847106934,266.295257568,272.837799072,-1.0
-1216000,2675200,581.518005371,265.754241943,272.820129395,-1.0
-1094400,2675200,566.263427734,265.297302246,272.807983398,-1.0
-972800,2675200,534.25769043,264.995147705,272.803283691,-1.0
-851200,2675200,492.38092041,264.874450684,272.796661377,-1.0
-729600,2675200,472.648010254,264.872070312,272.796386719,-1.0
-608000,2675200,453.032012939,264.912200928,272.790985107,-1.0
-486400,2675200,437.515960693,264.918670654,272.753051758,-1.0
-364800,2675200,433.970397949,264.915863037,272.720153809,-1.0
-243200,2675200,432.045684814,264.871704102,272.70199585,-1.0
-121600,2675200,442.623291016,264.877746582,272.700958252,-1.0
0,2675200,440.746795654,264.915863037,272.729095459,-1.0
121600,2675200,433.224060059,264.921173096,272.765716553,-1.0
243200,2675200,435.888061523,264.953186035,272.807006836,-1.0
364800,2675200,456.466796875,265.025054932,272.862030029,-1.0
486400,2675200,486.920166016,265.127807617,272.907531738,-1.0
608000,2675200,519.252746582,265.296051025,272.937530518,-1.0
729600,2675200,530.300354004,265.620574951,272.999725342,-1.0
851200,2675200,537.992614746,265.947875977,273.103271484,-1.0
972800,2675200,557.928405762,266.257751465,273.261474609,-1.0
1094400,2675200,577.186340332,266.576751709,273.496643066,-1.0
1216000,2675200,590.070068359,266.979278564,273.736083984,-1.0
1337600,2675200,628.481201172,267.357025146,273.904632568,-1.0
1459200,2675200,688.666748047,267.800842285,273.960510254,-1.0
1580800,2675200,731.652099609,268.36618042,273.958892822,-1.0
1702400,2675200,761.375732422,268.877075195,273.978393555,-1.0
1824000,2675200,792.599609375,269.402038574,274.046142578,-1.0
1945600,2675200,826.294799805,269.944122314,274.147949219,-1.0
-2067200,2553600,629.660522461,270.364776611,273.53137207,-1.0
-1945600,2553600,642.504577637,269.431396484,273.071655273,-1.0
